Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url,Mentions current AI terms,Languages count,Stars per contributor
dbeaver dbeaver,Free universal database tool and SQL client,"['Java', 'C++', 'ANTLR', 'CSS', 'HTML', 'XSLT']",3959,47559,27901,101,381,237,https://github.com/dbeaver/dbeaver,False,6,124.83
FlowiseAI Flowise,"Build AI Agents, Visually","['TypeScript', 'JavaScript', 'HTML', 'Handlebars', 'CSS', 'SCSS']",23225,47060,3261,101,280,78,https://github.com/FlowiseAI/Flowise,False,6,168.07
microsoft ai-agents-for-beginners,12 Lessons to Get Started Building AI Agents,"['Jupyter Notebook', 'Other']",15700,45915,859,2,60,0,https://github.com/microsoft/ai-agents-for-beginners,False,2,765.25
docling-project docling,Get your documents ready for gen AI,"['Python', 'Shell', 'Dockerfile']",3228,45655,772,17,152,140,https://github.com/docling-project/docling,False,3,300.36
oobabooga text-generation-webui,"The definitive Web UI for local AI, with powerful features and easy setup.","['Python', 'JavaScript', 'CSS', 'Shell', 'Batchfile', 'Dockerfile', 'Jupyter Notebook']",5847,45537,5082,10,372,88,https://github.com/oobabooga/text-generation-webui,False,7,122.41
yeongpin cursor-free-vip,[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.,"['Python', 'PowerShell', 'Shell', 'Batchfile']",5363,44866,582,16,42,69,https://github.com/yeongpin/cursor-free-vip,False,4,1068.24
jeecgboot JeecgBoot,🔥AI低代码平台，助力企业快速实现低代码开发和构建AI应用！ 成熟的AI应用平台：涵盖AI应用、AI模型、AI聊天助手、知识库、AI流程编排、MCP和插件，聊天式业务操作等，兼容多种大模型；提供强大代码生成器：实现前后端一键生成，无需手写代码! 引领AI开发模式：AI生成→在线配置→代码生成→手工合并，解决Java项目80%重复工作，提升效率节省成本，又不失灵活~,"['Java', 'Vue', 'Less', 'TypeScript', 'Python', 'Dockerfile']",15692,44552,2113,17,25,66,https://github.com/jeecgboot/JeecgBoot,False,6,1782.08
ClickHouse ClickHouse,ClickHouse® is a real-time analytics database management system,"['C++', 'Python', 'Assembly', 'Shell', 'C', 'Jinja', 'Other']",7872,44406,200324,631,1847,708,https://github.com/ClickHouse/ClickHouse,False,7,24.04
microsoft AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!","['Jupyter Notebook', 'Python', 'HTML', 'Vue', 'JavaScript', 'Dockerfile']",8754,44065,868,4,63,0,https://github.com/microsoft/AI-For-Beginners,False,6,699.44
mem0ai mem0,Universal memory layer for AI Agents,"['Python', 'TypeScript', 'MDX', 'Jupyter Notebook', 'JavaScript', 'Shell', 'Other']",4750,43821,1871,189,248,269,https://github.com/mem0ai/mem0,False,7,176.7
apache airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows","['Python', 'TypeScript', 'JavaScript', 'Shell', 'Go', 'Dockerfile', 'Other']",16047,43405,34613,299,3568,108,https://github.com/apache/airflow,False,7,12.17
GitHubDaily GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",[],4366,43174,96,7,4,0,https://github.com/GitHubDaily/GitHubDaily,False,0,10793.5
virattt ai-hedge-fund,An AI Hedge Fund Team,"['Python', 'TypeScript', 'Shell', 'Batchfile', 'CSS', 'Mako']",7556,42521,798,17,32,0,https://github.com/virattt/ai-hedge-fund,False,6,1328.78
Kong kong,🦍 The Cloud-Native Gateway for APIs & AI,"['Lua', 'Perl', 'Raku', 'Starlark', 'Shell', 'Python', 'Other']",5032,42304,11249,70,393,145,https://github.com/Kong/kong,False,7,107.64
apachecn ailearning,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,"['Python', 'JavaScript', 'CSS', 'Jupyter Notebook', 'HTML', 'Shell']",11600,41794,243,0,43,2,https://github.com/apachecn/ailearning,False,6,971.95
upscayl upscayl,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.","['TypeScript', 'JavaScript', 'CSS', 'Python', 'Shell']",1961,41499,1113,5,48,29,https://github.com/upscayl/upscayl,False,5,864.56
hpcaitech ColossalAI,"Making large AI models cheaper, faster and more accessible","['Python', 'Cuda', 'HTML', 'C++', 'Shell', 'C']",4542,41278,3974,46,191,50,https://github.com/hpcaitech/ColossalAI,False,6,216.12
crewAIInc crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","['Python', 'JavaScript', 'Other']",5496,41001,1844,152,281,128,https://github.com/crewAIInc/crewAI,False,3,145.91
ray-project ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,"['Python', 'C++', 'Java', 'TypeScript', 'Starlark', 'Cython', 'Other']",6969,40109,28235,380,1317,120,https://github.com/ray-project/ray,False,7,30.45
