Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url,Mentions current AI terms,Languages count,Stars per contributor
feder-cr Jobs_Applier_AI_Agent_AIHawk,"AIHawk aims to easy job hunt process by automating the job application process. Utilizing artificial intelligence, it enables users to apply for multiple jobs in a tailored way.","['Python', 'CSS']",4435,29133,62,0,66,1,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,False,2,441.41
svc-develop-team so-vits-svc,SoftVC VITS Singing Voice Conversion,"['Python', 'Jupyter Notebook']",5070,27826,854,7,46,0,https://github.com/svc-develop-team/so-vits-svc,False,2,604.91
Genesis-Embodied-AI Genesis,A generative world for general-purpose robotics & embodied AI learning.,"['Python', 'Other']",2564,27727,940,9,75,9,https://github.com/Genesis-Embodied-AI/Genesis,False,2,369.69
nrwl nx,"Get to green PRs in half the time. Nx optimizes your builds, scales your CI, and fixes failed PRs. Built for developers and AI agents.","['TypeScript', 'Roff', 'Rust', 'JavaScript', 'Kotlin', 'Astro', 'Other']",2632,27628,16415,127,1096,1070,https://github.com/nrwl/nx,False,7,25.21
ItzCrazyKns Perplexica,Perplexica is an AI-powered answering engine. It is an Open source alternative to Perplexity AI,"['TypeScript', 'Other']",2864,27535,743,41,44,31,https://github.com/ItzCrazyKns/Perplexica,False,2,625.8
blakeblackshear frigate,NVR with realtime local object detection for IP cameras,"['TypeScript', 'Python', 'CSS', 'Shell', 'Dockerfile', 'JavaScript', 'Other']",2558,27484,5052,51,580,73,https://github.com/blakeblackshear/frigate,False,7,47.39
qdrant qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/","['Rust', 'Python', 'Shell', 'C', 'Nix', 'Dockerfile']",1928,27445,5059,76,151,107,https://github.com/qdrant/qdrant,False,6,181.75
microsoft semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,"['C#', 'Python', 'Jupyter Notebook', 'TypeScript', 'Bicep', 'CSS']",4374,26775,4836,66,428,246,https://github.com/microsoft/semantic-kernel,True,6,62.56
Stability-AI generative-models,Generative Models by Stability AI,"['Python', 'Roff']",2999,26663,80,50,19,2,https://github.com/Stability-AI/generative-models,False,2,1403.32
labring FastGPT,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.","['TypeScript', 'MDX', 'HTML', 'Python', 'JavaScript', 'Dockerfile', 'Other']",6797,26426,2513,18,155,208,https://github.com/labring/FastGPT,True,7,170.49
invoke-ai InvokeAI,"Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, and serves as the foundation for multiple commercial products.","['TypeScript', 'Python', 'Shell', 'JavaScript', 'CSS', 'Dockerfile']",2735,26362,18550,33,343,206,https://github.com/invoke-ai/InvokeAI,False,6,76.86
ComposioHQ composio,Composio equips your AI agents & LLMs with 100+ high-quality integrations via function calling,"['TypeScript', 'Python', 'MDX', 'Shell', 'CSS', 'JavaScript', 'Other']",4395,26200,1251,23,28,393,https://github.com/ComposioHQ/composio,False,7,935.71
facefusion facefusion,Industry leading face manipulation platform,"['Python', 'CSS']",4158,26005,388,0,11,14,https://github.com/facefusion/facefusion,False,2,2364.09
Max-Eee NeoPass,Your Essential Exam Companion for the Iamneo Portal & NPTEL Exams Disguised as NeoExamShield bypass,"['HTML', 'JavaScript']",80,25761,70,0,2,10,https://github.com/Max-Eee/NeoPass,False,2,12880.5
warpdotdev Warp,"Warp is the agentic development environment, built for coding with multiple AI agents.",[],588,25386,335,0,14,0,https://github.com/warpdotdev/Warp,False,0,1813.29
modular modular,The Modular Platform (includes MAX & Mojo),"['Mojo', 'Python', 'Starlark', 'HTML', 'MDX', 'Shell']",2739,25291,24767,124,323,9,https://github.com/modular/modular,False,6,78.3
CopilotKit CopilotKit,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁","['TypeScript', 'Python', 'CSS', 'Shell', 'Other']",3358,25217,3898,103,136,1339,https://github.com/CopilotKit/CopilotKit,False,5,185.42
go-kratos kratos,Your ultimate Go microservices framework for the cloud-native era.,"['Go', 'Other']",4126,25155,2002,70,290,71,https://github.com/go-kratos/kratos,False,2,86.74
